K2A-PREF.ST,Real Estate
KABE-B.ST,Consumer Services
KAR.ST,Consumer Services
KDEV.ST,Health Care
KFAST-B.ST,Real Estate
KIND-SDB.ST,Consumer Services
KINV-A.ST,Financials
KINV-B.ST,Financials
KLARA-B.ST,Real Estate
KNOW.ST,Technology
LAGR-B.ST,Technology
LAMM-B.ST,Consumer Services
LATO-B.ST,Financials
LIFCO-B.ST,Industrials
LIME.ST,Technology
LINC.ST,Financials
LIAB.ST,Industrials
LOGI-A.ST,Real Estate
LOGI-B.ST,Real Estate
LOOMIS.ST,Industrials
LUC.ST,Basic Materials
LUND-B.ST,Financials
LUG.ST,Basic Materials
LUMI.ST,Basic Materials
MAHA-A.ST,Energy
MEAB-B.ST,Industrials
MANG.ST,Financials
MCAP.ST,Health Care
MCOV-B.ST,Health Care
MVIR.ST,Health Care
MEKO.ST,Consumer Services
IMMU.ST,Health Care
MSAB-B.ST,Technology
MSON-A.ST,Consumer Goods
MSON-B.ST,Consumer Goods
MIDW-A.ST,Industrials
MIDW-B.ST,Industrials
MILDEF.ST,Industrials
TIGO-SDB.ST,Telecommunications
MIPS.ST,Consumer Services
MOB.ST,Health Care
MTG-A.ST,Consumer Services
MTG-B.ST,Consumer Services
MOMENT.ST,Consumer Services
MMGR-B.ST,Industrials
MTRS.ST,Industrials
MYCR.ST,Technology
NICA.ST,Health Care
NAXS.ST,Financials
NCAB.ST,Technology
NCC-A.ST,Industrials
NCC-B.ST,Industrials
NMAN.ST,Industrials
NELLY.ST,Consumer Services
NETI-B.ST,Telecommunications
NETEL.ST,Industrials
NEWA-B.ST,Consumer Services
NGS.ST,Industrials
NIBE-B.ST,Industrials
NIL-B.ST,Consumer Services
NIVI-B.ST,Real Estate
NOBI.ST,Consumer Services
NOLA-B.ST,Industrials
NDA-SE.ST,Financials
NPAPER.ST,Basic Materials
NWG.ST,Industrials
NORB-B.ST,Basic Materials
SAVE.ST,Financials
NORVA.ST,Industrials
NOTE.ST,Industrials
NTEK-B.ST,Technology
NP3.ST,Real Estate
NP3-PREF.ST,Real Estate
NYF.ST,Real Estate
OEM-B.ST,Industrials
ONCO.ST,Health Care
ORES.ST,Financials
ORX.ST,Health Care
ORRON.ST,Energy
ORTI-A.ST,Health Care
ORTI-B.ST,Health Care
OP.ST,Real Estate
OP-PREF.ST,Real Estate
OP-PREFB.ST,Real Estate
OVZON.ST,Telecommunications
OX2.ST,Energy
PNDX-B.ST,Real Estate
PEAB-B.ST,Industrials
PIERCE.ST,Consumer Services
PION-B.ST,Industrials
PLAZ-B.ST,Real Estate
PREC.ST,Technology
PREV-B.ST,Technology
PRIC-B.ST,Technology
PACT.ST,Technology
PROB.ST,Health Care
PROF-B.ST,Basic Materials
PRFO.ST,Industrials
PENG-B.ST,Industrials
QLINEA.ST,Health Care
QLIRO.ST,Financials
RAIL.ST,Industrials
RATO-A.ST,Financials
RATO-B.ST,Financials
RAY-B.ST,Health Care
READ.ST,Technology
REJL-B.ST,Industrials
RESURS.ST,Financials
RIZZO-B.ST,Consumer Services
RROS.ST,Basic Materials
RVRC.ST,Consumer Services
SAAB-B.ST,Industrials
SAGA-A.ST,Real Estate
SAGA-B.ST,Real Estate
SAGA-D.ST,Real Estate
SBB-B.ST,Real Estate
SBB-D.ST,Real Estate
SAMPO-SDB.ST,Financials
SAND.ST,Industrials
SANION.ST,Health Care
SAS.ST,Consumer Services
SCA-A.ST,Basic Materials
SCA-B.ST,Basic Materials
SCST.ST,Consumer Goods
SHOT.ST,Consumer Services
SDIP-B.ST,Industrials
SDIP-PREF.ST,Industrials
SEAF.ST,Financials
SEB-A.ST,Financials
SEB-C.ST,Financials
SECT-B.ST,Health Care
SECU-B.ST,Industrials
SEDANA.ST,Health Care
SGG.ST,Technology
SEZI.ST,Health Care
SINCH.ST,Technology
SINT.ST,Industrials
SIVE.ST,Technology
SKA-B.ST,Industrials
SKF-A.ST,Basic Materials
SKF-B.ST,Basic Materials
SKIS-B.ST,Consumer Services
SLEEP.ST,Technology
SOF-B.ST,Technology
SFAB.ST,Financials
SSAB-A.ST,Basic Materials
SSAB-B.ST,Basic Materials
STAR-A.ST,Consumer Services
STAR-B.ST,Consumer Services
STEF-B.ST,Real Estate
SF.ST,Consumer Services
STWK.ST,Financials
STE-A.ST,Basic Materials
STE-R.ST,Basic Materials
STOR-B.ST,Financials
STRAX.ST,Consumer Services
SVIK.ST,Industrials
SHB-A.ST,Financials
SHB-B.ST,Financials
SVED-B.ST,Industrials
SVOL-A.ST,Financials
SVOL-B.ST,Financials
SWEC-A.ST,Industrials
SWEC-B.ST,Industrials
SWED-A.ST,Financials
SLP-B.ST,Real Estate
SOBI.ST,Health Care
SYNACT.ST,Health Care
SYNSAM.ST,Consumer Services
SYSR.ST,Industrials
TEL2-A.ST,Telecommunications
TEL2-B.ST,Telecommunications
TELIA.ST,Telecommunications
TETY.ST,Energy
TFBANK.ST,Financials
THULE.ST,Consumer Services
TIETOS.ST,Technology
TOBII.ST,Technology
TDVOX.ST,Technology
TRAC-B.ST,Financials
TRAD.ST,Technology
TRANS.ST,Industrials
8TRA.ST,Industrials
TREL-B.ST,Industrials
TRIAN-B.ST,Real Estate
TROAX.ST,Basic Materials
TRUE-B.ST,Technology
VBG-B.ST,Consumer Services
VEFAB.ST,Financials
VESTUM.ST,Consumer Services
VPLAY-A.ST,Telecommunications
VPLAY-B.ST,Telecommunications
VICO.ST,Health Care
VIT-B.ST,Technology
VITR.ST,Health Care
VIVE.ST,Health Care
VNV.ST,Financials
VOLO.ST,Industrials
VOLO-PREF.ST,Industrials
VOLV-A.ST,Industrials
VOLV-B.ST,Industrials
VOLCAR-B.ST,Consumer Services
WALL-B.ST,Real Estate
WBGR-B.ST,Industrials
WIHL.ST,Real Estate
WISE.ST,Industrials
XANO-B.ST,Industrials
XBRANE.ST,Health Care
XSPRAY.ST,Health Care
XVIVO.ST,Health Care
