ticker,lower_length,upper_length,target
ALIG.ST,5.255920833696278,7.308464869219945,156.05
ANOT.ST,7.43405764891961,5.030121917329954,374.79
ALIF-B.ST,16.50553160062312,15.940028755397245,95.88
ALLEI.ST,3.170373643898157,8.615400853985493,36.96
ALLIGO-B.ST,6.880090821195721,7.994775017380746,321.54
AOI.ST,5.255920833696278,7.308464869219945,51.18
ADDT-B.ST,3.4662821297235595,5.976369580822059,86.58
ATORX.ST,10.647165677802782,10.200268783886221,1987.54
ANNE-B.ST,22.104673604889463,11.214279638422857,53.47
AMBEA.ST,15.015902346451663,7.590263628799471,189.13
AQ.ST,28.134432986981746,10.4969792051664,2.08
ACAD.ST,25.23236461325025,8.631794804392502,71.05
AFRY.ST,12.534901669144585,6.546869913626933,77.22
ABB.ST,10.210740455124128,5.0,62.83
ACTI.ST,30.0,5.0,307.61
ARP.ST,6.4015461299524565,13.639018176076194,39.98
ARPL.ST,13.849072274546415,5.0,154.23
ARISE.ST,7.948302952008897,8.944172592599354,207.64
ARION-SDB.ST,10.297400402827716,13.267229864013784,143.17
AZN.ST,13.093638136374645,23.00811233605395,-2.0
ATT.ST,23.55979343451752,14.946722107537314,105.4
ALIV-SDB.ST,13.093638136374645,23.00811233605395,-2.0
ATCO-B.ST,10.041548912197726,5.0,44.01
ASSA-B.ST,7.5494696869910065,5.0,39.4
ARJO-B.ST,24.251850690211267,7.853019103294957,87.43
ACE.ST,18.440852313614926,5.406736060647283,1271.63
ATRLJ-B.ST,14.19197729625245,15.295131101522747,95.73
ATCO-A.ST,7.189286477442988,5.0,42.03
AZA.ST,14.706147458552532,5.0,66.49
AXFO.ST,4.651994234492926,5.0,47.5
B3.ST,9.747182095981652,10.136898365088973,134.42
BRG-B.ST,7.26734214457991,8.722040361561412,7.84
BETS-B.ST,30.0,16.825148671812432,0.0
BEIA-B.ST,20.28462448954659,5.0,10.37
BACTI-B.ST,23.41480932040582,12.021155842011057,153.04
BEGR.ST,6.729870236840643,8.336985431945097,148.62
BETCO.ST,6.4015461299524565,13.639018176076194,65.08
BALCO.ST,11.665508371906249,12.116714242106314,199.85
BICO.ST,5.071221219261779,9.952537227121969,145.44
BEIJ-B.ST,4.409354148702247,5.026799913737941,33.81
BESQ.ST,12.547125272191195,5.0,205.14
BHG.ST,20.718096735712415,13.898880452124251,61.86
BILI-A.ST,11.219555007007887,8.640580575711505,154.34
BERG-B.ST,3.4662821297235595,5.976369580822059,38.45
BILL.ST,13.093638136374645,23.00811233605395,0.0
BIOA-B.ST,19.892400740647737,14.151371356266905,15.8
BINV.ST,16.89057425155177,10.453408114392765,52.2
BIOG-B.ST,11.845176363077773,7.358712423258968,42.14
BORG.ST,4.39956044778884,5.331081592130994,173.85
BOL.ST,5.208177717534357,12.080171081506801,66.25
BONAV-A.ST,20.288887795456038,6.377265655829213,41.71
BONAV-B.ST,30.0,5.0,-81.37
