id,ticker,target,lower_length,upper_length
5537,ADDT-B.ST,15.72,4.2224221944348965,9.177307645814375
1455120,ALLEI.ST,33.31,28.661226746554494,2.0
643541,ALIF-B.ST,74.33,22.483771366204888,2.0
572678,ALIG.ST,197.33,2.035500645084097,3.0595065795981484
765297,ALLIGO-B.ST,105.38,1.9510534941118909,2.0690338615401895
5301,AFRY.ST,70.04,19.45749917619867,2.0
741458,AMBEA.ST,66.69,1.0484761268633664,2.0387289638383628
388806,ARP.ST,78.5,6.397868017527009,4.828551749127259
5447,ABB.ST,7.41,15.851704734162599,3.9105045651608865
5534,AQ.ST,134.91,2.8223917703494874,2.0
3442,AZN.ST,0.0,17.263858183400387,36.57557568522359
861076,ARION-SDB.ST,127.16,6.723479741867409,6.432252548902294
220127,ARISE.ST,104.01,25.26375726182647,2.0
612517,ATT.ST,128.48,1.0,2.0
1232120,ARPL.ST,167.54,1.0,2.0
5361,AZA.ST,5.42,6.475090605214117,11.508871476074182
5236,ALIV-SDB.ST,0.0,17.263858183400387,36.57557568522359
5235,ATCO-B.ST,3.18,8.264148243729165,18.58691489806629
5271,ASSA-B.ST,0.0,17.263858183400387,36.57557568522359
810953,ARJO-B.ST,229.97,1.0,2.0
5374,ATRLJ-B.ST,0.0,17.263858183400387,36.57557568522359
856638,BETCO.ST,180.64,18.934994420003957,2.1937090171719618
5465,AXFO.ST,4.77,28.521915783473148,2.0
5482,BETS-B.ST,60.76,7.655038539399066,2.0749773582490842
488231,BACTI-B.ST,175.41,6.723479741867409,6.432252548902294
790858,BALCO.ST,82.96,1.2287025426375486,2.202393101093918
838544,BHG.ST,311.48,26.456653277865932,2.0
5556,BILL.ST,0.0,17.263858183400387,36.57557568522359
5274,BEIJ-B.ST,150.68,21.830359492878085,2.297309005941427
791946,BIOA-B.ST,0.0,17.263858183400387,36.57557568522359
5349,BIOG-B.ST,126.7,2.13565223767051,2.0
5484,BIOT.ST,172.95,1.1149978041904167,2.1178511812832426
78529,BORG.ST,128.14,5.151798153261146,2.7086138245895377
5564,BOL.ST,0.0,17.263858183400387,36.57557568522359
765299,BONEX.ST,109.63,2.4543471700592305,2.0
757760,BOOZT.ST,0.0,17.263858183400387,36.57557568522359
5503,BTS-B.ST,141.3,2.802233379645611,2.662400653469909
863757,CALTX.ST,0.0,17.263858183400387,36.57557568522359
290011,BULTEN.ST,0.0,17.263858183400387,36.57557568522359
1290782,BFG.ST,470.61,3.988667902412591,2.680407789410964
613452,CAMX.ST,0.0,17.263858183400387,36.57557568522359
233288,BMAX.ST,0.0,17.263858183400387,36.57557568522359
5277,BURE.ST,55.07,1.210445423023982,2.3105130718792015
41007,CATE.ST,0.0,17.263858183400387,36.57557568522359
5353,CAST.ST,34.91,21.058201543501003,2.0
1192970,CINT.ST,250.35,19.12816603821985,2.0
298354,COIC.ST,33.36,25.232820251996856,2.0
5457,CLAS-B.ST,0.96,29.573141972801686,2.0
5356,CCOR-B.ST,11.47,1.0,2.0
572375,COOR.ST,55.35,2.1113660942268937,2.940612186062209
1279465,CTEK.ST,0.0,17.263858183400387,36.57557568522359
163148,CLA-B.ST,38.41,3.773203745567199,2.0193572887091857
5425,CTT.ST,103.25,1.4617598578218003,2.0090403491592834
216649,CORE-PREF.ST,87.03,1.4617598578218003,2.0090403491592834
88447,CRAD-B.ST,193.43,17.982397334686375,2.6431614537866253
611718,DOM.ST,0.0,17.263858183400387,36.57557568522359
286778,DEDI.ST,0.0,17.263858183400387,36.57557568522359
283294,EGTX.ST,35.63,7.380366893241882,2.0
102327,DUNI.ST,58.23,1.0,2.0
43267,DIOS.ST,39.65,22.080797093928467,2.7363974172139875
5311,ELAN-B.ST,49.12,4.556610752829954,2.0061541770902487
178908,ELON.ST,105.02,12.09662960098872,2.0
5280,EKTA-B.ST,0.0,17.263858183400387,36.57557568522359
537416,ELTEL.ST,72.82,13.328205478909876,2.8967388383489356
1072320,EPRO-B.ST,88.99,2.6536060662474985,2.0
1418985,ENGCON-B.ST,14.83,15.859522993748914,15.029127797958402
5478,EPEN.ST,0.0,17.263858183400387,36.57557568522359
861431,EPI-B.ST,0.0,17.263858183400387,36.57557568522359
1001617,EQT.ST,64.34,6.723479741867409,6.432252548902294
178628,EOLU-B.ST,0.0,17.263858183400387,36.57557568522359
255388,EPIS-B.ST,55.81,9.152322073647529,3.7219953199317946
5240,ERIC-B.ST,0.0,17.263858183400387,36.57557568522359
5300,FABG.ST,0.0,17.263858183400387,36.57557568522359
5314,FAG.ST,44.64,24.64933931009748,2.2194717288488217
549768,EVO.ST,0.0,17.263858183400387,36.57557568522359
127201,EWRK.ST,35.6,18.253845226721765,3.2622278305013204
5459,BALD-B.ST,85.88,23.101112816393897,3.6956526921335557
764241,ESSITY-B.ST,0.0,17.263858183400387,36.57557568522359
1411569,EMIL-B.ST,199.17,1.4752342909183063,3.265861952229235
1025156,FPAR-D.ST,48.9,2.044723803663111,3.0111592003691747
795795,FNM.ST,15.32,14.017138005156685,5.326239487501703
152492,G5EN.ST,42.65,7.3117769043668375,2.9234929875016302
79687,FNOX.ST,94.32,21.391776382596717,3.595094643860004
510194,GRNG.ST,0.0,17.263858183400387,36.57557568522359
743016,FMM-B.ST,48.92,2.592181546536671,3.703234567567861
5282,GETI-B.ST,13.57,23.04618690571513,2.0
837354,GREEN.ST,49.75,6.332931803629011,3.5258551761247396
488235,HANZA.ST,50.88,20.71100569241629,2.0
5363,HEBA-B.ST,0.0,17.263858183400387,36.57557568522359
5362,HAV-B.ST,131.02,1.6861605633799288,2.0
