ticker,target,lower_length,upper_length,id
IMMNOV.ST,4694.9,3.658897430542064,8.421277308519588,
NELLY.ST,2586.47,39.0832056699948,6.674476478027942,
MOB.ST,2303.27,4.741945300270228,6.952739161644118,
SANION.ST,1766.48,4.698035024815011,15.158901292144268,
ATORX.ST,1491.21,31.553606940020785,25.708963476345133,
CAMX.ST,1396.87,44.91800455977919,21.914846716057667,
QLINEA.ST,1199.64,1.0,32.43395994700875,
OVZON.ST,1092.51,5.924002217394127,14.161252684134167,
BONEX.ST,1043.74,10.311637104002598,18.27733296861131,
NETEL.ST,987.53,15.943029007687809,13.58645234113976,
CLAS-B.ST,965.17,42.34152448791656,9.702565808948162,
IBT-B.ST,962.46,34.74664567769612,6.123556696626199,
MMGR-B.ST,889.33,43.34979857471292,5.06909833066589,
FING-B.ST,844.74,3.939525879016585,31.714343460733986,
TDVOX.ST,783.22,14.586423190138357,11.35489390952339,
BICO.ST,755.55,8.884224185666596,13.260634780570902,
OEM-B.ST,681.26,22.38920497500925,18.23492261296524,
BUFAB.ST,650.35,6.945344483310277,15.960492239504868,
STAR-A.ST,649.63,7.457259195952973,9.61692973843989,
NCAB.ST,640.86,22.135623458326748,26.13740984534024,
MTRS.ST,629.02,45.0,5.0,
KFAST-B.ST,591.5,40.97820213609621,19.680707418683973,
BORG.ST,573.63,28.869009812235085,25.01868211333927,
XVIVO.ST,523.67,32.91478142363984,6.353722763001825,
STWK.ST,505.27,20.948016528797982,10.52942879396852,
BERG-B.ST,495.72,19.5341873240474,10.442895275957529,
FAG.ST,462.71,26.261174641648577,12.336428745290508,
SAAB-B.ST,445.29,4.625856570735378,12.69480495183645,
LOGI-B.ST,444.64,39.56112270102569,49.73033317519237,
NPAPER.ST,424.92,36.205039149863374,30.8040033426907,
HOFI.ST,414.66,23.11849512955617,18.52391010590948,
BETS-B.ST,390.71,13.042891061108442,5.0,
LUG.ST,361.1,3.2791247725272528,5.0,
NEWA-B.ST,345.4,16.45044875027098,15.655478250241847,
STAR-B.ST,337.92,15.939445179059565,10.76756264987125,
EWRK.ST,327.0,10.554575401321015,14.091568538680791,
EPEN.ST,323.7,10.260525792595736,38.81826861069418,
SINCH.ST,313.45,5.717308826795906,52.24116202512168,
ARISE.ST,307.13,16.66114303591631,14.399767732991732,
HANZA.ST,262.73,28.62015084114263,19.52826906885098,
RAY-B.ST,253.4,44.46749439763312,47.3298914118581,
BIOA-B.ST,237.22,38.6784436079524,14.877355174277092,
CANTA.ST,232.79,1.901174943609686,21.744441489317342,
ARP.ST,224.57,11.427541229278027,21.42296867776933,
DEDI.ST,202.18,26.261174641648577,12.336428745290508,
BEGR.ST,199.6,3.5886670219421912,28.2042412937258,
SYNACT.ST,124.41,1.4835861481251302,23.7439578200228,
PROF-B.ST,99.09,1.9964262823778909,27.34456484534313,
ORRON.ST,38.35,5.030298149560797,53.71140738353195,
ONCO.ST,24.2,3.8408990258298905,48.905021459713176,
