5249, 125.16, 125.2, 2024-01-18 15:10:34.116000
5386, 88.74, 88.76, 2024-01-18 15:10:34.119000
517316, 4.3725, 4.377, 2024-01-18 15:10:34.289000
5465, 262.7, 262.9, 2024-01-18 15:10:35
5240, 63.82, 63.84, 2024-01-18 15:10:34.907000
130828, 113.7, 113.9, 2024-01-18 15:10:36
5300, 95.82, 95.9, 2024-01-18 15:10:36
51308, 289.6, 289.8, 2024-01-18 15:10:36
702377, 49.1, 49.55, 2024-01-18 15:10:35.624000
945460, 3.422, 3.44, 2024-01-18 15:10:36
5271, 282.6, 282.7, 2024-01-18 15:10:36
5246, 225.2, 225.4, 2024-01-18 15:10:37
5263, 141.1, 141.15, 2024-01-18 15:10:36.471000
5262, 141.0, 141.2, 2024-01-18 15:10:36.472000
5257, 169.95, 170.05, 2024-01-18 15:10:37.024000
5264, 108.65, 108.75, 2024-01-18 15:10:38
5240, 63.82, 63.85, 2024-01-18 15:10:37.713000
613452, 515.0, 516.0, 2024-01-18 15:10:38
5267, 317.8, 318.0, 2024-01-18 15:10:38
831975, 118.9, 119.0, 2024-01-18 15:10:38
644519, 26.2, 26.25, 2024-01-18 15:10:38.044000
5261, 72.16, 72.2, 2024-01-18 15:10:38.055000
5386, 88.74, 88.78, 2024-01-18 15:10:38.158000
5564, 276.15, 276.3, 2024-01-18 15:10:38.281000
338588, 64.05, 64.15, 2024-01-18 15:10:39
5325, 60.04, 60.08, 2024-01-18 15:10:39
572678, 86.5, 86.6, 2024-01-18 15:10:39
163148, 17.4, 17.42, 2024-01-18 15:10:38.612000
1072320, 53.3, 53.35, 2024-01-18 15:10:38.878000
5364, 161.86, 161.92, 2024-01-18 15:10:39.309000
5564, 276.1, 276.2, 2024-01-18 15:10:40
5556, 92.24, 92.38, 2024-01-18 15:10:39.360000
517316, 4.373, 4.377, 2024-01-18 15:10:39.285000
5249, 125.16, 125.2, 2024-01-18 15:10:39.333000
5240, 63.83, 63.85, 2024-01-18 15:10:39.305000
5369, 101.95, 102.05, 2024-01-18 15:10:40
5386, 88.72, 88.76, 2024-01-18 15:10:40
549768, 1204.4, 1204.8, 2024-01-18 15:10:40
460955, 0.398, 0.4045, 2024-01-18 15:10:39.507000
