ticker,lower_length,upper_length,target,id
ALIF-B.ST,10.847419494669802,34.01759394573417,361.65,643541
ATIC.ST,1.0,55.0,-47.22,742358
AOI.ST,15.16788042845941,16.65228269573896,650.67,250993
ABLI.ST,1.005032491963175,20.116628631591986,426.39,144172
ACRI-B.ST,31.20604081798968,46.73128359486864,80.11,1205828
AFRY.ST,19.105120917522466,36.38764555919262,20.5,5301
ACTI.ST,18.88949883654823,54.83379266692186,-206.75,5304
ACAD.ST,1.0,55.0,-114.56,667476
ALIG.ST,34.060268451621674,9.988147575781394,381.33,572678
ABB.ST,42.05441071880906,5.0,320.55,5447
ADDT-B.ST,19.411401543856464,18.07902122084096,811.81,5537
ANOD-B.ST,45.0,11.669549265082154,606.96,5442
ACRI-A.ST,4.671622637823027,49.65056206852324,-36.13,1024589
ALFA.ST,16.065570882826307,28.870473623015425,245.92,5580
AAK.ST,22.454003569301296,10.41076020693243,320.75,26268
ALLEI.ST,19.458496950644136,10.38462882390316,807.34,1455120
ACE.ST,6.238311061509594,28.274766450511034,-146.78,941919
ALLIGO-B.ST,20.559427597034507,49.051452143831035,737.29,765297
ANNE-B.ST,8.71486985076403,9.450541979875773,330.52,1166180
ANOT.ST,1.0,54.87952512620475,352.16,5480
ASSA-B.ST,6.063053149757129,54.91292355169744,56.69,5271
ATORX.ST,11.021580087658478,25.489276450407782,937.06,707779
ARP.ST,32.6030307200892,12.219211909665074,1515.31,388806
AMBEA.ST,19.296513646088812,16.331732769867173,467.18,741458
ARION-SDB.ST,14.854061559646569,30.186047271665593,132.3,861076
ARISE.ST,17.474219880598433,16.413405994909056,835.94,220127
AZN.ST,36.23276102172361,53.41307878596987,-8.0,3442
ARJO-B.ST,11.317778137328059,53.19815688693143,-8.93,810953
ARPL.ST,10.81632087274826,46.38009595897496,109.94,1232120
AQ.ST,24.47999357831717,38.306119787000334,651.09,5534
ATCO-A.ST,13.394699370395829,29.455094536771142,311.43,5234
ATT.ST,19.194186420985744,14.856634426752187,644.41,612517
ATRLJ-B.ST,17.14145881272572,6.592119105355432,351.64,5374
ATCO-B.ST,27.13010669397711,36.90424046435614,258.0,5235
AZA.ST,18.471621208554822,47.44477549302516,161.83,5361
AXFO.ST,15.380267895319262,13.7554236371736,562.07,5465
BACTI-B.ST,8.413446290007995,54.698353579148936,28.87,488231
B3.ST,24.383790948052194,23.022456644655854,720.75,665185
BEIA-B.ST,34.554361723927634,26.417661407640864,352.03,5303
BALCO.ST,8.902756035337314,37.59592542192635,226.99,790858
BEGR.ST,4.872053359406536,5.260514438722737,870.49,59050
BRG-B.ST,1.8046842031444394,42.507215747248374,40.38,377996
BEIJ-B.ST,15.7343223628905,11.082758379079664,101.16,5274
ALIV-SDB.ST,40.57329676215893,6.5660941849213845,211.4,5236
BERG-B.ST,31.20604081798968,46.73128359486864,923.33,742356
BETCO.ST,33.767565955094256,5.0,365.64,856638
BIOG-B.ST,7.4572591959529735,9.61692973843989,182.48,5349
BESQ.ST,36.23276102172361,53.41307878596987,142.64,483939
BHG.ST,19.361411304153588,32.93449142228758,674.1,838544
BINV.ST,14.099482437374672,54.90782098725144,17.9,5505
BETS-B.ST,41.331901758454734,5.076968767575957,935.87,5482
BILL.ST,28.276225326694426,18.13603974643078,228.8,5556
BIOA-B.ST,27.802183989261824,5.58596150256313,2479.45,791946
BICO.ST,14.790663839006685,39.61613078346571,2732.68,702377
BONAV-A.ST,5.327260688654205,26.05538125025261,-105.39,663401
BORG.ST,29.87279130069669,29.515249212560303,913.15,78529
BILI-A.ST,11.705133071353192,46.04728782584078,192.26,5276
BOL.ST,4.976982147263074,54.90634792322587,-59.81,5564
BIOT.ST,27.842298000801065,7.134473531386472,154.78,5484
BONAV-B.ST,1.0,23.020980780899734,-86.89,663399
BOUL.ST,19.348968206913256,41.0162246721079,234.81,299736
BONG.ST,39.19154167151069,7.7131235937927505,569.04,5307
