id,ticker,target,lower_length,upper_length
765297,ALLIGO-B.ST,1138.28,5.469468871754547,14.288636875949564
643541,ALIF-B.ST,2050.97,9.932116178345929,14.573967359638797
572678,ALIG.ST,1095.85,7.421471871489717,15.252454627992114
1455120,ALLEI.ST,1736.46,9.983126678733479,16.091678675124857
5537,ADDT-B.ST,1855.31,5.072011475523451,11.004899630812954
388806,ARP.ST,1670.19,9.173092472948866,14.531867448841034
741458,AMBEA.ST,762.08,10.0,30.0
5447,ABB.ST,739.85,8.054687175355673,11.031561171621142
5534,AQ.ST,813.55,10.0,30.0
5301,AFRY.ST,1037.27,10.0,27.81178670268779
861076,ARION-SDB.ST,1295.23,10.0,29.496609133978563
220127,ARISE.ST,453.74,6.16698319057274,11.0
3442,AZN.ST,-26.67,9.323967770290553,19.68218726286178
612517,ATT.ST,1107.8,10.0,14.349113670902454
1232120,ARPL.ST,1114.83,10.0,14.63410507401912
5236,ALIV-SDB.ST,152.22,10.0,11.0
5361,AZA.ST,182.47,6.384773044886291,15.459101619607537
5235,ATCO-B.ST,652.1,10.0,11.0
5271,ASSA-B.ST,422.44,6.068930950425705,27.145903654190004
810953,ARJO-B.ST,239.98,9.87745100547603,29.38363747383785
5465,AXFO.ST,590.56,4.383584762033982,12.112437744237276
5374,ATRLJ-B.ST,633.75,9.157044349546643,30.0
856638,BETCO.ST,1005.81,6.389016515609794,12.06585821276158
5482,BETS-B.ST,109.43,10.0,11.0
488231,BACTI-B.ST,-157.28,1.0,12.828493054123648
838544,BHG.ST,294.15,1.0,11.0
5556,BILL.ST,-169.66,1.2464883387813355,23.73888269338964
791946,BIOA-B.ST,211.86,3.1250257428869817,11.02877437043181
790858,BALCO.ST,560.99,8.621855933826076,22.145551503505818
5274,BEIJ-B.ST,1093.01,8.46512855166293,11.650410272085423
765299,BONEX.ST,3189.21,10.0,11.0
5484,BIOT.ST,751.26,10.0,12.934847839412773
5349,BIOG-B.ST,518.8,6.239110932860677,11.0
78529,BORG.ST,392.85,10.0,30.0
5564,BOL.ST,240.53,7.888528679092343,23.927297871583736
863757,CALTX.ST,928.68,5.44935347966145,11.835744779729383
5503,BTS-B.ST,547.9,2.65588601890126,21.509407666357525
757760,BOOZT.ST,1439.31,7.290283674477779,22.016983111461872
290011,BULTEN.ST,709.69,4.98650964437386,17.607314947080408
233288,BMAX.ST,1356.58,7.190281836236464,13.326495323706471
41007,CATE.ST,458.75,8.742767120842446,26.322187903333447
613452,CAMX.ST,2974.25,9.995765996254399,18.985221061625786
5277,BURE.ST,452.5,10.0,30.0
5353,CAST.ST,653.37,8.216037875080517,30.0
1192970,CINT.ST,909.37,10.0,17.628451466749574
298354,COIC.ST,588.9,2.263482447357104,14.763928292612697
572375,COOR.ST,430.77,4.419001834981129,29.963192663001035
5457,CLAS-B.ST,3202.71,8.955008992446537,14.35843117583163
216649,CORE-PREF.ST,945.59,3.9113686520256232,12.30815211525172
1279465,CTEK.ST,496.36,4.753198042323167,24.686165375401004
163148,CLA-B.ST,-342.32,1.0,30.0
5425,CTT.ST,1350.81,10.0,11.0
88447,CRAD-B.ST,1446.51,9.980181051559706,24.508122211557275
611718,DOM.ST,1294.77,4.439013387679072,13.711493267031225
283294,EGTX.ST,-85.29,2.840070247583657,27.684231291427963
43267,DIOS.ST,895.67,8.980096697366443,27.285466901462442
102327,DUNI.ST,692.96,9.266669846951341,14.735244303253213
286778,DEDI.ST,211.19,7.460584272278562,17.30259683729232
178908,ELON.ST,721.17,2.840070247583657,27.684231291427963
5311,ELAN-B.ST,-323.54,7.238976011832728,30.0
5280,EKTA-B.ST,500.89,4.800135720388569,20.33170528442993
537416,ELTEL.ST,-111.59,9.109354299547325,18.433384163091773
1072320,EPRO-B.ST,916.44,6.218675622678359,11.0
1418985,ENGCON-B.ST,-19.0,4.005876035512193,29.96230857188681
5478,EPEN.ST,91.09,5.6588131246398845,23.503255358843006
178628,EOLU-B.ST,-41.29,3.577422006862346,16.249885075391163
861431,EPI-B.ST,136.51,10.0,20.238020293258522
1001617,EQT.ST,1311.41,6.579209162007671,12.063638917275464
5240,ERIC-B.ST,490.92,3.820593394709103,26.642535318536417
255388,EPIS-B.ST,3.28,6.901236698362767,29.8801421146214
5314,FAG.ST,767.36,8.709006406032797,30.0
5300,FABG.ST,461.59,6.62253800954782,11.068673126108381
549768,EVO.ST,179.74,7.906732268966307,25.640876448530953
127201,EWRK.ST,588.71,10.0,30.0
5459,BALD-B.ST,1496.61,5.59428548708678,11.0
1411569,EMIL-B.ST,-413.92,8.438535689214142,12.07861301166555
1025156,FPAR-D.ST,895.44,8.615220644846318,16.37740119831062
764241,ESSITY-B.ST,84.65,3.5253724656277887,30.0
152492,G5EN.ST,25.1,1.001029373356104,16.744318880004954
795795,FNM.ST,-228.95,1.0,30.0
510194,GRNG.ST,622.62,8.077743461589677,19.49036656032998
743016,FMM-B.ST,245.51,6.340825742829106,11.544743544228579
79687,FNOX.ST,2439.09,7.28136465731203,11.043762401101803
837354,GREEN.ST,299.83,10.0,17.07398432227274
5282,GETI-B.ST,-269.22,7.593652889557765,30.0
488235,HANZA.ST,671.49,7.601773941762485,27.849863825719783
5362,HAV-B.ST,656.14,1.094418746380279,24.829703275926647
5363,HEBA-B.ST,1150.26,7.250601681535421,20.923681249983357
130828,HPOL-B.ST,440.98,6.410858757899833,11.025448593023965
1220100,HEM.ST,1180.09,4.118554934841657,12.419815423681474
5364,HM-B.ST,1217.14,10.0,30.0
550518,HOFI.ST,2019.21,7.057569618470257,19.64824144255254
