ticker,target,lower_length,upper_length,id
ATORX.ST,1987.54,10.647165677802782,10.20026878388622,707779
OVZON.ST,1304.81,5.255920833696278,7.308464869219945,852674
ACE.ST,1271.63,18.44085231361493,5.406736060647283,941919
MOB.ST,992.11,5.172743079777927,5.105892739726762,262018
IRLAB-A.ST,917.73,21.241198905042832,7.736517758103202,732156
FING-B.ST,879.8,3.4662821297235595,5.976369580822059,5468
VIVE.ST,825.76,5.255920833696278,7.308464869219945,237353
IS.ST,711.19,10.443186503795348,7.1729822458926185,5436
RIZZO-B.ST,703.85,1.0033168697030015,12.558314315795991,5345
VESTUM.ST,687.52,14.45472169659089,8.848772654931617,126555
BFG.ST,628.72,16.903896812629725,5.0,1290782
CCOR-B.ST,559.99,20.199260222289865,12.035492742785909,5356
K2A-B.ST,473.77,5.071221219261779,9.952537227121969,971402
NORB-B.ST,428.96,7.266382703519301,6.16081240173683,1289307
NETEL.ST,409.35,3.4662821297235595,5.976369580822059,1290780
SEZI.ST,395.95,19.47226687160459,7.398672237613708,132471
HNSA.ST,388.49,20.94175486576747,5.027454599757918,98087
HAV-B.ST,383.23,5.65206751558219,5.0,5362
SBB-D.ST,379.55,14.18807336987786,5.0,913957
ANOT.ST,374.79,7.43405764891961,5.030121917329954,5480
GARO.ST,360.61,5.255920833696278,7.308464869219945,643540
KFAST-B.ST,349.96,6.4015461299524565,13.639018176076194,1022591
CAT-A.ST,337.29,6.305981119295593,7.95867543558041,159628
NYF.ST,333.97,5.667910665677629,5.020049749397535,907825
STWK.ST,329.81,4.128382432305727,7.30772250495952,5373
NELLY.ST,323.74,8.811904924279084,5.000620953033101,262988
LOGI-B.ST,323.09,7.802467754187796,6.995283460741784,1306448
ALLIGO-B.ST,321.54,6.880090821195721,7.994775017380746,765297
PRFO.ST,310.48,16.993104303306577,7.929309815705424,1245765
ACTI.ST,307.61,30.0,5.0,5304
EMIL-B.ST,303.89,8.449550440887029,8.674707023505006,1411569
CALTX.ST,294.8,6.992149170225217,5.028970833962884,863757
ITAB.ST,290.06,13.101839268646682,18.96724571114379,134988
INTRUM.ST,289.93,5.255920833696278,7.308464869219945,5583
NORVA.ST,286.82,2.6886037981956137,5.575454363620953,1314433
SINCH.ST,284.61,8.135685578007843,5.0,599956
LOGI-A.ST,280.7,3.8520581811584527,15.527690625126304,85228
SYNACT.ST,275.63,1.7316237273464783,7.493118938815808,674279
BRIN-B.ST,271.56,8.933172640462654,5.0,694166
TRANS.ST,269.91,14.576973276698707,5.0,564938
SECT-B.ST,269.75,15.940409651228764,5.07962588454998,5426
INSTAL.ST,263.2,18.69818219001717,8.091961029443592,752039
WBGR-B.ST,261.62,9.793003157046524,5.0,1148804
CAMX.ST,255.05,10.906268772608437,6.769337447392327,613452
BMAX.ST,248.68,15.714239593478435,5.0,233288
SEDANA.ST,246.04,4.292773288436921,8.63110142290217,765295
ISOFOL.ST,245.15,29.876558469781557,6.863999616317241,741998
FPAR-A.ST,244.57,8.565347410714311,7.160111354767447,5357
XVIVO.ST,234.05,8.795880049556747,8.816465749364353,376275
ORTI-B.ST,220.54,3.326820731786086,7.249300527872222,5390
EGTX.ST,219.86,15.705520584547829,5.0,283294
HEBA-B.ST,217.15,24.91417693640264,6.047521099443537,5363
OEM-B.ST,215.93,5.400650591156401,5.0,5329
SVOL-A.ST,215.64,14.50567910250232,16.822523729247784,5336
BTS-B.ST,214.68,10.985134987830484,5.0,5503
QLINEA.ST,213.5,1.636728602214216,5.06765172157093,910455
BUFAB.ST,210.71,3.8520581811584527,15.527690625126304,462932
SVIK.ST,208.21,3.4662821297235595,5.976369580822059,5500
ARISE.ST,207.64,7.948302952008897,8.944172592599354,220127
BESQ.ST,205.14,12.547125272191195,5.0,483939
CLAS-B.ST,201.65,4.944090059343372,5.035099300141184,5457
BALCO.ST,199.85,11.665508371906247,12.116714242106314,790858
CTEK.ST,198.4,4.973491450756444,12.951182653172172,1279465
PLAZ-B.ST,197.65,8.679548347601962,5.0062399415231615,445784
NTEK-B.ST,196.93,13.909483898360332,5.0718283840790255,5452
JOMA.ST,196.16,17.23853649816869,5.067972914233663,965358
NETI-B.ST,193.82,5.255920833696278,7.308464869219945,5440
BULTEN.ST,193.63,4.747686982888109,8.293518527619117,290011
CINT.ST,191.94,11.961282648683568,6.501072081192669,1192970
AMBEA.ST,189.13,15.015902346451664,7.590263628799471,741458
PION-B.ST,188.51,6.988361725824555,6.736781386284824,5450
EPRO-B.ST,188.07,13.409408620267278,13.603560508594043,1072320
STEF-B.ST,188.06,14.415964931265687,5.294595275461402,273449
EMBRAC-B.ST,185.06,7.202699397467619,6.781595116891146,707695
NP3.ST,183.87,7.958183284572292,7.476351041409114,522855
GREEN.ST,183.83,16.550368724191923,5.0,837354
MMGR-B.ST,182.83,9.839128437032006,5.280402728239915,1374804
MSON-B.ST,182.69,7.83093300256223,5.009422354287223,5444
XBRANE.ST,181.12,1.5464769536897462,5.681629799563708,630588
LINC.ST,178.29,13.422838516444104,5.0,1233195
WISE.ST,177.7,3.4662821297235595,5.976369580822059,74787
DUST.ST,177.4,16.695015870647072,12.291172217107174,538819
OP-PREF.ST,176.77,5.071221219261779,9.952537227121969,563251
IBT-B.ST,176.15,26.07308697407323,5.0,645576
BONEX.ST,173.88,9.54927602019752,7.531541189997439,765299
BORG.ST,173.85,4.39956044778884,5.331081592130994,78529
OP.ST,173.7,30.0,5.0,460955
ERIC-A.ST,171.6,15.935028089210906,10.317461381011194,5239
SAGA-B.ST,170.91,5.396576839046483,8.642922749176847,405815
ERIC-B.ST,170.17,9.938324825971485,10.022177304068462,5240
IAR-B.ST,167.38,11.389673836870749,8.391213960842531,5424
SBB-B.ST,160.56,7.801462887767962,8.041050227033837,517316
FMM-B.ST,158.97,9.939893384939966,6.896543487051002,743016
RVRC.ST,158.36,7.11059089939657,6.151060054082119,1241651
ALIG.ST,156.05,5.255920833696278,7.308464869219945,572678
BILI-A.ST,154.34,11.219555007007887,8.640580575711505,5276
ARPL.ST,154.23,13.849072274546415,5.0,1232120
SOBI.ST,153.88,21.864533395030985,5.0,51308
BACTI-B.ST,153.04,23.41480932040582,12.021155842011057,488231
BRAV.ST,152.18,3.4662821297235595,5.976369580822059,602637
